11:19:32.876 [main] INFO  c.l.s.service.StockWatchServiceImpl - End of method execution save data to DB
11:19:32.936 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
11:19:32.944 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
11:19:32.951 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
11:19:58.084 [main] INFO  c.l.stockwatch.StockwatchServiceTest - Starting StockwatchServiceTest using Java 17.0.6 with PID 15000 (started by Likhith in C:\Users\Administrator\Desktop\stockwatch)
11:19:58.086 [main] DEBUG c.l.stockwatch.StockwatchServiceTest - Running with Spring Boot v3.1.5, Spring v6.0.13
11:19:58.087 [main] INFO  c.l.stockwatch.StockwatchServiceTest - No active profile set, falling back to 1 default profile: "default"
11:20:00.007 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
11:20:00.122 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 94 ms. Found 1 JPA repository interfaces.
11:20:01.053 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
11:20:01.166 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.2.13.Final
11:20:01.171 [main] INFO  org.hibernate.cfg.Environment - HHH000406: Using bytecode reflection optimizer
11:20:01.864 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
11:20:01.934 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
11:20:02.206 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection conn0: url=jdbc:h2:mem:stockmarketdetails user=ROOT
11:20:02.212 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
11:20:03.318 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
11:20:03.405 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
11:20:04.512 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
11:20:06.898 [main] INFO  o.s.b.a.h.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:stockmarketdetails'
11:20:07.436 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
11:20:07.562 [main] INFO  c.l.stockwatch.StockwatchServiceTest - Started StockwatchServiceTest in 10.107 seconds (process running for 12.09)
11:20:09.365 [main] INFO  c.l.s.service.StockWatchServiceImpl - Started executing method to save data to DB
11:20:09.379 [main] INFO  c.l.s.service.StockWatchServiceImpl - End of method execution save data to DB
11:20:09.483 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
11:20:09.497 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
